Hostel_ID,Room_Type,Capacity,Room_Count
1,Блок (2 комнаты),5,93
1,Двухместная,2,4
2,Блок (2-3 комнаты),6,11
2,Коридорная,1,7
2,Коридорная,2,21
3,Двухместная,2,22
5,Блок,4,54
5,Коридорная,2,44
6,Квартира с 3-мя комнатами по 3 человека,9,88
6,Однокомнатная квартира,2,19
7,Двухместная,2,84
7,Четырехместная,4,91
8,Четырехкомнатная квартира,8,24
8,Трехкомнатная квартира,6,96
8,Двухкомнатная квартира,6,168
9,Двухместная,2,64
9,Трехместная,3,96
9,Четырехместная,4,8
10,Двухместная,2,17
10,Трехместная,3,68
10,Одноместная,1,11